"redcap_repeat_instance_dv","avg_dsis","sd_dsis","count"
0,1.81034482758621,2.20411812775839,58
1,1.15555555555556,1.74454416494233,45
2,1.36734693877551,2.08859878817335,49
3,1.10869565217391,1.96896206012277,46
4,1.08888888888889,1.88079072131211,45
5,1.06,1.59604102039249,50
6,1.31372549019608,2.15861248100192,51
7,1.1304347826087,1.72057736630177,46
8,1.45454545454545,2.42520241739276,44
9,1.26666666666667,1.99317015649123,45
10,1.36734693877551,1.94394227399526,49
11,1.25531914893617,1.95011800207491,47
12,1.33333333333333,1.90557226936132,48
13,1.06122448979592,1.59958540546848,49
14,1.34042553191489,1.83298990420001,47
15,1.20408163265306,1.7197334075947,49
16,1.29411764705882,1.97275561230537,51
17,1.36538461538462,1.83675807915123,52
18,0.909090909090909,1.34368777204849,44
19,0.857142857142857,1.42403460788702,42
20,1.32608695652174,1.86254721432877,46
21,1.17391304347826,1.71664204287954,46
22,1.21276595744681,1.89892612916704,47
23,1.08695652173913,1.85982181890299,46
24,0.837209302325581,1.08956593712358,43
25,0.78,1.48859610618426,50
26,1.2,2.08457538732821,45
27,1.02083333333333,1.8735514499103,48
28,1.18367346938776,1.78738017532825,49
29,1.1875,1.88675393878797,48
30,1.19148936170213,1.9296124624699,47
31,0.956521739130435,1.68597511170678,46
32,1.07547169811321,1.75246043084676,53
33,1.06666666666667,1.52851680931668,45
34,1.22727272727273,1.77663958161464,44
35,1.04347826086957,1.64595830565703,46
36,1.02380952380952,1.60012339826127,42
37,1.44444444444444,2.09496751499609,45
38,0.978723404255319,1.53918896913316,47
39,1.04347826086957,1.75063825489931,46
40,1.04545454545455,1.68377407552816,44
41,1.28260869565217,1.90511642663482,46
42,0.955555555555556,1.47641389176544,45
43,1.1304347826087,1.89277803655161,46
44,1.11904761904762,1.54923082335028,42
45,0.926829268292683,1.86266266272827,41
46,1,1.70880074906351,51
47,1.06976744186047,1.65321258445214,43
48,1.21951219512195,1.76793940962284,41
49,1,1.58113883008419,49
50,0.958333333333333,1.67533208309651,48
51,1.20454545454545,1.95982373975546,44
52,0.955555555555556,1.34765040576613,45
53,0.840909090909091,1.34584946492578,44
54,1.02173913043478,1.76998594388371,46
55,1,1.63299316185545,40
56,0.928571428571429,1.65857501492678,42
57,1,1.69705627484771,51
58,1.15909090909091,1.87942571409438,44
59,0.976744186046512,1.53511861016888,43
60,1.075,1.78867520091239,40
61,0.978260869565217,1.74469520336849,46
62,1.09090909090909,1.55246513376093,44
63,1.27906976744186,1.84294770867797,43
64,1,1.86547581061776,51
65,0.74468085106383,1.45165700084545,47
66,1.16666666666667,1.80671736646229,42
67,1.04255319148936,1.65447281513544,47
68,0.916666666666667,1.56875520964917,48
69,1.15909090909091,1.65576065310798,44
70,0.976744186046512,1.71114514834814,43
71,0.933333333333333,1.43653623819114,45
72,1.06521739130435,2.00446361806226,46
73,1.13333333333333,1.98402712591427,45
74,0.694444444444444,1.54585980595995,36
75,0.617021276595745,1.17127191157383,47
76,1.12820512820513,1.76485405956185,39
77,0.906976744186046,1.42785142431644,43
78,0.909090909090909,1.74966019050586,44
79,0.86046511627907,1.72628689538637,43
80,0.854166666666667,1.57087295602529,48
81,0.605263157894737,1.26361715216858,38
82,0.95,1.39504618065276,40
83,0.836734693877551,1.49090211470984,49
