"day_from_first_ptvisit","count","avg_Efficiency","sd_Efficiency","se_Efficiency","ci_lower_Efficiency","ci_upper_Efficiency","avg_tib","sd_tib","se_tib","ci_lower_tib","ci_upper_tib","avg_tst","sd_tst","se_tst","ci_lower_tst","ci_upper_tst","avg_waso","sd_waso","se_waso","ci_lower_waso","ci_upper_waso","avg_mi","sd_mi","se_mi","ci_lower_mi","ci_upper_mi","avg_fi","sd_fi","se_fi","ci_lower_fi","ci_upper_fi","avg_sfi","sd_sfi","se_sfi","ci_lower_sfi","ci_upper_sfi"
-2,33,82.5966666666667,9.40836186148613,1.63778557923049,79.3866069313749,85.8067264019584,518.121212121212,119.279806960293,20.763949198496,477.42387169216,558.818552550264,425.363636363636,99.7540156402921,17.3649452148301,391.328343742569,459.398928984703,92.7575757575758,60.7361251146251,10.5728022917859,72.0348832656753,113.480268249476,65.4784848484849,6.11860539727606,1.0651124852757,63.3908643773445,67.5661053196252,38.4975757575758,23.7101022812934,4.1273990275974,30.4078736634849,46.5872778516667,103.976060606061,23.7396178543635,4.13253702937162,95.8762880284922,112.075833183629
-1,34,82.8408823529412,9.62418524458582,1.65053415259588,79.6058354138533,86.0759292920291,582.323529411765,117.328526224246,20.121676244314,542.885043972909,621.76201485062,480,105.171144792522,18.0367025297355,444.648063041718,515.351936958282,102.323529411765,74.4139611323588,12.7618890490492,77.3102268756283,127.336831947901,62.8994117647059,6.06953392508322,1.04091648062623,60.8592154626785,64.9396080667333,35.8855882352941,31.6645524198041,5.43042593916721,25.2419533945264,46.5292230760619,98.785,30.6230351255885,5.25180719680779,88.4914578942567,109.078542105743
0,38,82.4142105263158,11.4583817147994,1.8587949656335,78.7709723936741,86.0574486589574,556.447368421053,136.522980417499,22.146951900334,513.039342696398,599.855394145707,453.973684210526,113.171357001315,18.3588183640503,417.990400216988,489.956968204065,102.473684210526,82.4803782864504,13.3800841810309,76.2487192157058,128.698649205347,62.9968421052632,6.68775771628225,1.08489756091353,60.8704428858726,65.1232413246537,36.0339473684211,18.0216150308866,2.92349200138194,30.3039030457124,41.7639916911297,99.0307894736842,15.7873146787315,2.56104062302237,94.0111498525604,104.050429094808
1,37,83.3591891891892,8.72112995303118,1.43374493243674,80.5490491216132,86.1693292567652,553.621621621622,113.012376743865,18.5791202896629,517.206545853882,590.036697389361,459.081081081081,92.7494769013037,15.247920075676,429.195157732756,488.967004429406,94.5405405405405,61.4001423245702,10.0941212185641,74.7560629521548,114.325018128926,64.7362162162162,6.52994016960482,1.07351555104761,62.6321257361629,66.8403066962695,30.5075675675676,12.1600407540905,1.99909838556435,26.5893347318614,34.4258004032737,95.2437837837838,12.7233076480728,2.09169889251767,91.1440539544491,99.3435136131184
2,43,82.4967441860465,11.4886038193819,1.75199565757343,79.0628326972026,85.9306556748904,553.279069767442,145.447802056008,22.1805818715609,509.805129299183,596.753010235701,450.558139534884,121.704619454055,18.559780469617,414.180969814434,486.935309255333,102.720930232558,77.5107751592044,11.8202823971506,79.5531767341429,125.888683730973,64.0367441860465,8.27672057236446,1.26218805432804,61.5628555995635,66.5106327725295,32.2683720930233,14.3815816287349,2.19317063750372,27.969757643516,36.5669865425305,96.3051162790698,15.6468042335888,2.38611527589644,91.6283303383128,100.981902219827
3,42,84.2969047619048,9.92577686044732,1.53158062054324,81.29500674564,87.2988027781695,552.285714285714,121.174392713466,18.6976147253099,515.638389424107,588.933039147322,464.880952380952,115.310228933221,17.7927546092917,430.007153346741,499.754751415164,87.4047619047619,63.2795036842681,9.7642394024211,68.2668526760166,106.542671133507,63.7983333333333,7.44584183078755,1.14891833777839,61.5464533912877,66.050213275379,35.9454761904762,18.9702807624647,2.92717787136972,30.2082075625915,41.6827448183608,99.7438095238095,19.3806371755081,2.99049724058076,93.8824349322712,105.605184115348
4,40,81.2805,9.09165155231534,1.4375163298961,78.4629679934037,84.0980320065964,560.975,114.526782781841,18.1082743340986,525.482782305167,596.467217694833,455.325,102.776178897242,16.2503407262109,423.474332176627,487.175667823373,105.65,57.9860947080175,9.16840659477859,87.679923074234,123.620076925766,64.354,6.53681165910925,1.03356067391647,62.3282210791237,66.3797789208763,35.453,20.6675251517311,3.26782265391436,29.0480675983279,41.8579324016722,99.807,20.5351192862999,3.24688744839794,93.44310060114,106.17089939886
5,38,81.2597368421053,10.9824445875254,1.78158776847822,77.767824815888,84.7516488683226,602.131578947368,131.649241393947,21.3563270297129,560.273177969131,643.989979925606,485.736842105263,114.416187715637,18.5607565715947,449.357759224938,522.115924985589,116.394736842105,81.061718053053,13.1499471018675,90.6208405224451,142.168633161765,62.9136842105263,7.17819348690321,1.16445674859702,60.6313489832761,65.1960194377765,33.7192105263158,16.5776258172956,2.68924601905571,28.4482883289666,38.990132723665,96.6328947368421,16.6504579772895,2.70106095555395,91.3388152639564,101.926974209728
6,44,82.2895454545454,10.5767267444041,1.59450155096844,79.1643224146473,85.4147684944436,575.295454545455,135.584107517867,20.4400732805441,535.232910915588,615.357998175321,471.795454545455,118.539480136161,17.8704990207015,436.76927646488,506.82163262603,103.5,72.7907162493475,10.9736133645596,81.9917178054632,125.008282194537,63.5713636363636,7.65531995926016,1.15408290704476,61.3093611385559,65.8333661341714,35.3293181818182,21.0801197425803,3.17794762372282,29.1005408393215,41.5580955243149,98.9006818181818,20.2857998676044,3.05819939695841,92.9066110001433,104.89475263622
7,39,79.6012820512821,10.7841946188043,1.72685317458389,76.2166498290976,82.9859142734665,548.461538461538,135.80749652858,21.7466036920123,505.838195225194,591.084881697883,430.179487179487,95.2119164907175,15.2461084079027,400.297114699998,460.061859658977,118.282051282051,79.6095566591787,12.7477313330758,93.2964978692228,143.26760469488,64.4982051282051,5.9521733632589,0.953110531786464,62.6301084859037,66.3663017705066,30.1753846153846,14.8850465137533,2.38351501755016,25.5036951809863,34.8470740497829,94.6735897435897,15.5781173254732,2.49449516708706,89.7843792160991,99.5628002710804
